公司名称,address
三峡高科信息技术有限责任公司,北京市海淀区玉渊潭南路1号
中卫莱康科技发展（北京）有限公司,北京市西城区德胜门外大街新风街2号天成科技大厦B座12层B1203-B1204室
中国民航信息网络股份有限公司,北京市顺义区后沙峪镇裕民大街7号
中寰卫星导航通信有限公司,北京市海淀区北四环西路67号
中新金桥数字科技（北京）有限公司,北京市海淀区西三旗建材城西路31号B座四层(西厅)401室
中油物采信息技术有限公司,北京市西城区鼓楼外大街5号5层
中科方德软件有限公司,北京市海淀区中关村南四街4号3号楼
京东方科技集团股份有限公司,北京市朝阳区酒仙桥路10号
信元公众信息发展有限责任公司,北京市海淀区杏石口路99号3幢
信维创科通信技术（北京）有限公司,北京市北京经济技术开发区锦绣街14号
倍适（北京）科技有限公司,北京市丰台区西四环南路101号5层5008A
北京万集科技股份有限公司,北京市海淀区中关村软件园12号楼A区
北京三友信电子科技有限公司,北京市昌平区超前路37号1幢3层4-3-5
北京三地曼矿业软件科技有限公司,北京市石景山区八角东街65号院主楼北座2号楼9层902室
北京三清互联科技有限公司,北京市昌平区沙河镇昌平路97号6幢603A
北京三迪自动化设备工程有限公司,北京市丰台区丰台镇富丰路2号7层812室(园区)
北京世纪瑞尔软件有限公司,北京市海淀区信息路22号B座10层10-1室
北京东方基业科技发展股份有限公司,北京市海淀区四季青乡曙光花园望山园2号楼16D(住宅)
北京东方广视数字技术有限公司,北京市昌平区回龙观镇立业路7号1幢3层302室
北京东方惠尔图像技术有限公司,北京市北京经济技术开发区永昌北路3号1幢1层701单元101
京弘达信息技术（北京）有限公司,北京市海淀区永嘉北路6号5幢2层东侧212
京投科技（北京）有限公司,北京市顺义区后沙峪镇安富街6号
京润矿安科技（北京）有限公司,北京市石景山区八大处高科技园区西井路3号3号楼1236A房间
京电云通（北京）科技有限公司,北京市丰台区南四环西路128号院4号楼15层1801
京翰林微电水（北京）科技有限公司,北京市昌平区科技园区创新路11号创业大厦713室
京能世纪物联网技术（北京）有限公司,北京市北京经济技术开发区经海四路35号院2号楼5区3层
京金所（北京）信息技术有限公司,北京市东城区朝阳门北大街8号2号楼12层2-2D室
亮卡（北京）信息技术有限公司,北京市海淀区马甸东路19号4层506-1
人人保（北京）信息技术有限公司,北京市昌平区城北街道西关路20号3号楼909
人民金服金融信息服务（北京）有限公司,北京市海淀区高梁桥斜街59号院5号楼404-10室
人物互联网（北京）有限公司,北京市海淀区中关村南大街34号3号楼4层502
亿新（北京）科技有限公司,北京市石景山区古城西路113号2层249
亿维融智软件科技（北京）有限公司,北京市海淀区中关村南大街5号二区683号楼13层1310室
伊莱文（北京）软件科技有限公司,北京市朝阳区霞光里8号2号楼一层8185室
伍伦贡（北京）国际教育科技研究院,北京市昌平区回龙观镇冠庭园10号楼3层5单元302
众德迪克科技（北京）有限公司,北京市海淀区中关村东路18号1号楼15层A1810B
众链云（北京）供应链管理有限公司,北京市朝阳区东四环中路78号楼14层17A05
优万科技（北京）股份有限公司,北京市海淀区中关村南大街2号1号楼12层A座1510
